"What kind of pet is this (Dog, Cat, Bird, Other)","Pet's Full Name (you don't have to include your last name. Think ""Winston Churchill"" and not ""Winston Churchill MYLASTNAME"")","Pet's everyday name (e.g. ""Church"")",Pet's age,Pet's breed (if applicable)
Dog,Anderson,Andy,12,Mixed
Dog,Mars Harambe,Pickle,3,Mixed
Dog,Claudio Atlas Wolfric,Claudio ,8,Dachshund 
Dog,Lawson H Dog,Hogan,16,Briard
Dog,Tucker,Tucker,1,Mixed
Dog,Ames,Ames,5,Siberian Husky
Dog,Franc,Frankie,0.333,Mixed
Dog,Oliver Jackson ,little shit,5.5,Mixed
Dog,Dolly Doodle Dogger,Dolly,6,Mixed
Dog,Cassie,Cassie,5,Mixed
Dog,Logan,Logan brogran,2,Rhodesian Ridgeback 
Dog,Basil,Basil,7,Lab/German Shepherd mix
Dog,Marble,Marble,5,Plott/Coonhound mix
Dog,Hollie,Hollie,14,Terrier
Dog,Cash Money,Cashie,2,Mixed
Dog,Seamus,Shamie Bameee,11,Rhodesian Ridgeback 
Dog,Nash,Nash,2,Mixed
Dog,Sian Ben Ryan,Sian or Sisi,14,Terrier
Dog,Bear 2,Bear,7.5,Mixed
Dog,Charles Barrath McIntyre,Barry,6,Basset Hound
Dog,Margeurite Larioux Gonzales,Maggie,6,Chihuahua 
Dog,Rusty,Rusty,2,Labrador
Dog,Starfire,Star,15,Mixed
Dog,Nova,Nova,3-Feb,Mixed
Dog,Dinty,The Dint,5,Mixed
Dog,Kadie Jo,Kadie Jo,6,Mixed
Dog,Daisy Duke,Daisy,4,Siberian husky/Brittany spaniel cross
Dog,Sunny Sunday Sky,Sunny,15.5,Beagle
Dog,Bailey,Bailey,3,Mixed
Dog,Bosco Spaghettio,Bosco,9,Mixed
Dog,Tansei,Duffus,7,Shiba Inu
Dog,Molly,Molly,16,Golden Retriever
Dog,Duke Dukington,Duke,3,Mixed
Dog,Prince Phillip the 2nd,Phillip,12,Terrier
Dog,Petey,Stinky,11,Terrier
Dog,President Nixon ,Nixy ,8,Mixed
Dog,Daisy Doodle Fat Kid with Butt Spots,Daisy,4,Mixed
Dog,Benry of Willowbrook,Benry,8,Golden Retriever
Dog,Qoda,Qoda,2.5,Golden Retriever
Dog,Ziggy Starsog,Zig,1.5,Mixed
Dog,Samuel Labrador,Sam,13,Labrador
Dog,Bentley Boy,Bentley,13,Shih Tzu/Bichon 
Dog,Taco Belle ,Taco,So so old,Mixed
Dog,Pluto,Pluto,Deceased,Golden Retriever
Dog,Toby,Toby,6,Mixed
Dog,Harlee ,Harlee,3,Anatolian Shepherd
Dog,Nessa,Nessa,1,Golden Retriever
Dog,Biscuit Bandit ,Bandit,3,Labrador
Dog,The Real Slim Sadie ,Sadie,1.5,Golden Retriever
Dog,Quincy Sugarplum,Quincy,3,Golden Retriever
Dog,Skipper Doo,Skip,4,Yorkie 
Dog,Sam Ruffalo,Sam,6,Mixed
Dog,Brutus Buckeye,Brutus,Just passed away at age 11,Golden Retriever
Dog,crespo ,crespo or baby ������,12,Mixed
Dog,Rossignol,Rozzie,Dead :(,Siberian Husky
Dog,Pepper,Pepper,4,Mixed
Dog,Amaya,Maya,6,Siberian Husky
Dog,Tiger ,Tiger,12,n/a
Dog,Bonnie,Bonnie,8,Terrier
Dog,Abby,Abby,11,Spaniel
Dog,Cooper,Coop,7,Labrador
Dog,Chase,Chase,3,Mixed
Dog,Riley Jenkins,Riley,1.5,Golden Retriever
Dog,Montgomery T Dog ,Monkey,2,Mixed
Dog,Nana Roo,Nana,5,German Shepherd
Dog,Callie,Cal Gal (the golden),3,Golden Retriever
Dog,Rocco Norbert,Rocco,10,Golden Retriever / Chow
Dog,Jack,Jack,3,Mixed
Dog,Ted,Ted,0.5,Terrier
Dog,Jaida Lynn,Jaida,12,Black lab / terrier
Dog,Daisy Lulu,Daisy,9,Poodle
Dog,Titus ,Titus,7,Labrador
Dog,Cookie Asparagus ,Cookie,11,Terrier
Dog,Tessa Leigh,Tessa,11,Mixed
Dog,Ali,Ali,5,Greyhound
Dog,Daisy,Daisy/Dandelion,4,Mixed
Dog,Lucky,"Luck, Luckboy, Luck duck",5,Labrador
Dog,Harper Jean,Harper,1.5,Mixed
Dog,Max-well,Max,6,Golden Retriever
Dog,Mica,Mica,6,Mixed
Dog,Sylvester Balboa,Sly,6,Golden Retriever
Dog,Mia Roo ,Mia,11,Australian Shepherd
Dog,Casper Tiberus,Casp,4,Mixed
Dog,Chummy,Chumbles,5,Mixed
Dog,Luna Bean ,Luna,7,Mixed
Dog,Sofie Tooter Scooter ,Sofie,7,Chihuahua 
Dog,Mojo,Mojo,5,Mixed
Dog,Grace,Grace,1,Mixed
Dog,Frankie,Frankie,1,Mixed
Dog,Osa,Osa,9,Mixed
Dog,Dixie,Dixie,12 or 13,Mixed
Dog,Nina,Nina,7,Terrier
Dog,Rachel,Rachel ,8,Schnauzer 
Dog,Piper,Piper,9,Mixed
Dog,Bella,Belly,10,Yorkie 
Dog,Queen Khaleesi,Queenie,12,Mixed
Dog,Bridget ,"Baby, Pookie",15,Mixed
Dog,Bodacious ,Bodie,14,Mixed
Dog,Mama Rose,Rosie,7,Pit bull
Dog,Augustus,Gus,Almost 8 ,Golden Retriever
Dog,Tater,Tater,0.25,Mixed
Dog,Beverly Ann,Beverlana,13,Golden Retriever
Dog,Cora Smalls,Cora,3,Bichon 
Dog,Jasper,Jasper,16,Dalmatian/beagle
Dog,Caleb, caliber ,1.5,Coonhound
Dog,Tonka,"Tonks, Tonkers, Sir Tail",8,Newfoundland
Dog,Hank,Baby,2,Boxer
Dog,Brandy,Puddin,5,Lab/pit bull mix
Dog,Sir Squeaksalot the Second,Twoie,9,Chinese Crested Powder Puff
Dog,Colby Jack,Jack,5,German Shepherd
Dog,Cooper,Coop,0.125,Mixed
Dog,Murphy,Murph,1,Mixed
Dog,Phineas,,7,Terrier
Dog,Peach,Peach,2,Mixed
Dog,moose alexander,Moose,0.667,Mixed
Dog,Ruby,Ruebs,6,Rhodesian Ridgeback 
Dog,Ruby,Ruby,4,Mixed
Dog,Min Ottende Bold,Otte,9,Labrador
Dog,Min fine Nimina Beana,Mina,6,Labrador
Dog,Lucy,Lu,3,Great Pyrenees 
Dog,Lucy Liu,luey,4,Basset Hound
Dog,Katniss Underfoot,Katniss,9,Pit bull
Dog,Sadie,Sayd,13,Border Collie
Dog,Coco  Chanel mademoiselle ,Coco,5,Golden Retriever
Dog,Maggie,Mags,8,Border Collie
Dog,Gunner baker,Gunner ,12,Labrador
Dog,April in Paris ,Paris ,6,Golden Retriever
Dog,Felix,Felix,2,n/a
Dog,Woodruff,Woody,10,Saint Bernard/Cocker Spaniel
Dog,Kitty take your gloves off,Reba ,8,Golden Retriever
Dog,Mulligan,Mull,12,Golden Retriever
Dog,Loki,Loki aka goof ball ,0.667,Golden Retriever
Dog,Okemo,Okemo,8,Cattle Dog
Dog,Beau,Beau,1.5,Mixed
Dog,Zack attack,Zack,10,Golden Retriever
Dog,Kendall,Kendall,4,Mixed
Dog,Bailey,Bailey,1,Lab/pointer
Dog,Ranger,Ranger,11,German Shepherd/Husky
Dog,Dan,Dan,12,Mixed
Dog,Sir Maximillion of Binghamton,Max,10,Golden Retriever
Dog,Freya,Freya,3,Pointer/shar pei
